time_sent,temp,internal_resistance,p,innovation,time_recv
1757067703.3769546,295.169,0.0001,5.244321420658237e-05,1500.7319417186955,1757067703.662787
1757067703.6808834,295.169,0.0001,5.036199885758268e-05,1500.7319417186955,1757067703.940182
1757067703.9615204,295.207,0.0001,3.935621449746212e-05,6908.310281782587,1757067704.1928208
1757067704.2118597,295.207,0.0001,3.2303809171093397e-05,1500.8925350399998,1757067704.4461064
1757067704.4655437,295.207,0.0001,2.7398980542101952e-05,1500.8925350399998,1757067704.7002106
1757067704.720106,295.244,0.0001,2.6138813551895013e-05,7305.498138601076,1757067704.9826105
1757067705.002314,295.244,0.0001,2.4990566637815323e-05,1501.0566315552173,1757067705.352441
1757067705.3788302,295.244,0.0001,2.39399642078212e-05,1501.0566315552173,1757067705.6479294
1757067705.668485,295.244,0.0001,2.2975059488991132e-05,1501.0566315552173,1757067705.9511042
1757067705.9785903,295.282,0.0001,1.5050013591663597e-05,6394.763700037576,1757067706.319253
1757067706.3405275,295.282,0.0001,1.1192960605832074e-05,1501.2109333465216,1757067706.7003455
1757067706.7289462,295.321,0.0001,3.404680826318505e-07,5510.916027586987,1757067707.0490854
1757067707.072178,295.321,0.0001,1.72948259843988e-07,1501.226895533913,1757067707.339138
1757067707.3617651,295.321,0.0001,1.159531284951909e-07,1501.226895533913,1757067707.6513817
1757067707.671408,295.321,0.0001,8.723392136414317e-08,1501.226895533913,1757067707.9526377
1757067707.972851,295.362,0.0001,5.706491685341528e-08,6932.940513031376,1757067708.2536736
1757067708.2738826,295.362,0.0001,4.24118560573682e-08,1501.3275000834783,1757067708.5811877
1757067708.6031635,295.362,0.0001,3.375337271174848e-08,1501.3275000834783,1757067708.892677
1757067708.9146867,295.402,0.0001,3.214964856749986e-08,6629.287533860582,1757067709.1896703
1757067709.2121325,295.402,0.0001,3.069279974694795e-08,1501.6250459269563,1757067709.4967432
1757067709.5191646,295.402,0.0001,2.9363533255228726e-08,1501.6250459269563,1757067709.7759497
1757067709.8012686,295.441,0.0001,2.9161299235258026e-08,7022.7232477594525,1757067710.1486776
1757067710.170832,295.441,0.0001,2.8962029938123434e-08,1501.8654073043479,1757067710.4052255
1757067710.427157,295.441,0.0001,2.8765660742138612e-08,1501.8654073043479,1757067710.6815987
1757067710.7038147,295.441,0.0001,2.8572128890133505e-08,1501.8654073043479,1757067711.0480902
1757067711.0699778,295.483,0.0001,2.4617525746910625e-08,6082.458945947694,1757067711.3481526
1757067711.3699572,295.483,0.0001,2.162715408012742e-08,1501.86214871,1757067711.6499488
1757067711.671541,295.483,0.0001,1.928668050174477e-08,1501.86214871,1757067711.9483402
1757067711.9698606,295.523,0.0001,1.8373156926232747e-08,6856.732210591377,1757067712.274046
1757067712.295562,295.523,0.0001,1.754305214348675e-08,1502.1117457534783,1757067712.5485928
1757067712.580322,295.523,0.0001,1.678543929441384e-08,1502.1117457534783,1757067712.844582
1757067712.8685706,295.563,0.0001,1.6598652068416883e-08,7044.072591194067,1757067713.1892126
1757067713.2107642,295.563,0.0001,1.641615686998077e-08,1502.3623867969563,1757067713.4594488
1757067713.4824784,295.563,0.0001,1.6237807533308822e-08,1502.3623867969563,1757067713.7486632
1757067713.770482,295.601,0.0001,1.6251954933470953e-08,6771.704843123803,1757067714.0482411
1757067714.0701065,295.601,0.0001,1.6266112822921824e-08,1502.6041132282608,1757067714.3347018
1757067714.3565748,295.601,0.0001,1.6280281206237436e-08,1502.6041132282608,1757067714.5923605
1757067714.617361,295.601,0.0001,1.6294460087990062e-08,1502.6041132282608,1757067714.8926964
1757067714.9213076,295.638,0.0001,1.6310551274043387e-08,6364.097386306442,1757067715.1707323
1757067715.1928637,295.638,0.0001,1.632665813348789e-08,1502.771040083478,1757067715.4498172
1757067715.471643,295.638,0.0001,1.634278068116112e-08,1502.771040083478,1757067715.7414432
1757067715.761431,295.676,0.0001,1.6354444151212012e-08,6739.581925704409,1757067716.028875
1757067716.0516224,295.676,0.0001,1.6366112592594757e-08,1502.9258824247825,1757067716.4765983
1757067716.5053937,295.676,0.0001,1.637778600264464e-08,1502.9258824247825,1757067716.781517
1757067716.8037179,295.716,0.0001,1.585832738287733e-08,6857.5086323229825,1757067717.0664635
1757067717.0887392,295.716,0.0001,1.537127992075086e-08,1502.969478268261,1757067717.3478062
1757067717.3731072,295.716,0.0001,1.4913702210533286e-08,1502.969478268261,1757067717.6489651
1757067717.6798263,295.716,0.0001,1.4482998317043376e-08,1502.969478268261,1757067718.007949
1757067718.0300753,295.755,0.0001,1.428094305593823e-08,5949.857924609844,1757067718.3519275
1757067718.3740067,295.755,0.0001,1.408464184486882e-08,1503.1803366556524,1757067718.6319015
1757067718.6538339,295.755,0.0001,1.3893852436289066e-08,1503.1803366556524,1757067718.9112039
1757067718.9331307,295.794,0.0001,1.3804362805878624e-08,7079.72704006565,1757067719.1519463
1757067719.1738956,295.794,0.0001,1.3716106374020419e-08,1503.3787871030434,1757067719.4467297
1757067719.4687407,295.794,0.0001,1.3629057867554718e-08,1503.3787871030434,1757067719.7339702
1757067719.7564604,295.833,0.0001,1.3612508466538248e-08,6916.679892311835,1757067719.9892488
1757067720.0117395,295.833,0.0001,1.359601569702588e-08,1503.581418490435,1757067720.2950163
1757067720.3173459,295.833,0.0001,1.3579579277039804e-08,1503.581418490435,1757067720.5517695
1757067720.574248,295.833,0.0001,1.3563198926469527e-08,1503.581418490435,1757067720.8327627
1757067720.855495,295.871,0.0001,1.3553395260715706e-08,6899.442890635513,1757067721.2507675
1757067721.280005,295.871,0.0001,1.3543615539612457e-08,1503.751311081739,1757067721.6105802
1757067721.63293,295.871,0.0001,1.3533859680419363e-08,1503.751311081739,1757067721.9751818
1757067721.9974594,295.915,0.0001,1.1290231624515789e-08,6323.820961515716,1757067722.2657483
1757067722.291399,295.915,0.0001,9.686088501511974e-09,1503.5941088295654,1757067722.5858407
1757067722.6062148,295.915,0.0001,8.482132046957905e-09,1503.5941088295654,1757067722.876896
1757067722.89972,295.967,0.0001,4.9762148804379925e-09,8578.484518053054,1757067723.153162
1757067723.175687,295.967,0.0001,3.521945781855809e-09,1503.2923228260868,1757067723.4702752
1757067723.496113,295.967,0.0001,2.7260659537347885e-09,1503.2923228260868,1757067723.8834329
1757067723.9134016,296.009,0.0001,2.7263915806248127e-09,5523.697134233001,1757067724.1522293
1757067724.1746018,296.009,0.0001,2.726716959572429e-09,1504.3301219617392,1757067724.4270585
1757067724.4494395,296.009,0.0001,2.72704209069805e-09,1504.3301219617392,1757067724.7172234
1757067724.7395737,296.047,0.0001,2.7297668999892438e-09,6734.957139768193,1757067725.0188227
1757067725.0411372,296.047,0.0001,2.7324944268953037e-09,1504.5495932730437,1757067725.3178494
1757067725.347162,296.047,0.0001,2.735224674116745e-09,1504.5495932730437,1757067725.5722513
1757067725.5973086,296.047,0.0001,2.737957644356748e-09,1504.5495932730437,1757067725.8291328
