time_sent,temp,internal_resistance,p,innovation,time_recv,current,dt,cooling power
1757103604.6590643,295.094,0.002,,,,5.33,4.840291976928711,1500.0
1757103605.6679926,295.132,0.002,,,,5.33,1.0089282989501953,1500.0
1757103606.6877906,295.169,0.002,,,,5.33,1.0197980403900146,1500.0
1757103607.7076855,295.207,0.002,,,,8.64,1.0198948383331299,1500.0
1757103608.7273726,295.244,0.002,,,,6.51,1.0196871757507324,1500.0
1757103609.747,295.282,0.002,,,,12.31,1.019627332687378,1500.0
1757103610.7665417,295.321,0.002,,,,41.08,1.0195417404174805,1500.0
1757103611.7859619,295.362,0.002,,,,49.64,1.0194201469421387,1500.0
1757103612.805173,295.402,0.002,,,,35.04,1.0192110538482666,1500.0
1757103613.8242192,295.441,0.002,,,,22.8,1.0190463066101074,1500.0
1757103614.8430374,295.483,0.002,,,,48.77,1.0188181400299072,1500.0
1757103615.8617504,295.523,0.002,,,,40.27,1.0187129974365234,1500.0
1757103616.879778,295.563,0.002,,,,29.23,1.0180275440216064,1500.0
1757103617.898478,295.601,0.002,,,,9.450000000000001,1.018700122833252,1500.0
1757103618.9173236,295.638,0.002,,,,5.36,1.018845558166504,1500.0
1757103619.9361362,295.676,0.002,,,,11.51,1.018812656402588,1500.0
1757103620.9549081,295.716,0.002,,,,37.89,1.0187718868255615,1500.0
1757103621.9736779,295.755,0.002,,,,31.98,1.0187697410583496,1500.0
1757103622.9924204,295.794,0.002,,,,27.09,1.018742561340332,1500.0
1757103624.0113614,295.833,0.002,,,,20.080000000000002,1.0189409255981445,1500.0
1757103625.0302186,295.871,0.002,,,,18.88,1.0188572406768799,1500.0
1757103626.0486605,295.915,0.002,,,,61.980000000000004,1.018441915512085,1500.0
1757103627.067342,295.967,0.002,,,,95.5,1.018681526184082,1500.0
1757103628.0863192,296.009,0.002,,,,23.84,1.018977165222168,1500.0
1757103629.1053734,296.047,0.002,,,,5.08,1.0190541744232178,1500.0
1757103630.124389,296.084,0.002,,,,-10.08,1.0190155506134033,1500.0
1757103631.6411157,296.159,0.002,,,,-8.64,1.5167267322540283,1500.0
1757103632.6493125,296.197,0.002,,,,-14.15,1.0081968307495117,1500.0
1757103633.6676984,296.236,0.002,,,,-25.5,1.018385887145996,1500.0
1757103634.686311,296.275,0.002,,,,-23.07,1.0186126232147217,1500.0
1757103635.7049546,296.313,0.002,,,,-7.16,1.0186436176300049,1500.0
1757103636.7237058,296.351,0.002,,,,5.33,1.0187511444091797,1500.0
1757103637.7422924,296.388,0.002,,,,5.33,1.0185866355895996,1500.0
1757103638.7609758,296.426,0.002,,,,5.33,1.0186834335327148,1500.0
1757103639.7795863,296.463,0.002,,,,5.33,1.0186104774475098,1500.0
1757103640.798273,296.501,0.002,,,,5.33,1.0186867713928223,1500.0
1757103641.8169417,296.538,0.002,,,,5.33,1.0186686515808105,1500.0
1757103642.835532,296.575,0.002,,,,5.33,1.0185902118682861,1500.0
1757103643.8541214,296.613,0.002,,,,5.33,1.0185894966125488,1500.0
1757103644.8726795,296.65,0.002,,,,5.55,1.0185580253601074,1500.0
1757103645.8912911,296.688,0.002,,,,21.27,1.0186116695404053,1500.0
1757103646.9099138,296.728,0.002,,,,46.95,1.018622636795044,1500.0
1757103647.9285884,296.769,0.002,,,,57.9,1.018674612045288,1500.0
1757103648.9472334,296.809,0.002,,,,36.14,1.0186450481414795,1500.0
1757103649.9658513,296.851,0.002,,,,55.36,1.018617868423462,1500.0
1757103650.9844499,296.896,0.002,,,,69.59,1.0185985565185547,1500.0
1757103652.0031388,296.953,0.002,,,,116.24000000000001,1.0186889171600342,1500.0
1757103653.0218475,297.013,0.002,,,,115.42,1.0187087059020996,1500.0
1757103654.0407188,297.067,0.002,,,,96.85000000000001,1.0188713073730469,1500.0
1757103655.059594,297.109,0.002,,,,35.13,1.0188751220703125,1500.0
1757103656.0784538,297.148,0.002,,,,27.89,1.01885986328125,1500.0
1757103657.0973227,297.192,0.002,,,,60.25,1.0188689231872559,1500.0
1757103658.1162157,297.231,0.002,,,,13.81,1.0188930034637451,1500.0
1757103659.1352062,297.26800000000003,0.002,,,,5.41,1.0189905166625977,1500.0
1757103660.1542516,297.312,0.002,,,,64.85,1.019045352935791,1500.0
1757103661.1734364,297.352,0.002,,,,30.150000000000002,1.0191848278045654,1500.0
1757103662.1926534,297.396,0.002,,,,65.48,1.0192170143127441,1500.0
1757103663.211857,297.439,0.002,,,,54.56,1.0192036628723145,1500.0
1757103664.2312088,297.48199999999997,0.002,,,,59.0,1.0193517208099365,1500.0
1757103665.2497115,297.535,0.002,,,,97.76,1.0185027122497559,1500.0
1757103669.651432,297.726,0.002,,,,-8.53,4.4017205238342285,1500.0
1757103670.670082,297.763,0.002,,,,-13.38,1.0186500549316406,1500.0
1757103671.6901078,297.805,0.002,,,,-47.02,1.0200257301330566,1500.0
1757103672.7100103,297.846,0.002,,,,-39.99,1.0199024677276611,1500.0
1757103673.7298362,297.884,0.002,,,,-20.740000000000002,1.0198259353637695,1500.0
1757103675.6394413,297.962,0.002,,,,48.53,1.9096050262451172,1500.0
1757103676.6579523,298.007,0.002,,,,67.32000000000001,1.0185110569000244,1500.0
1757103677.6765509,298.053,0.002,,,,75.36,1.0185985565185547,1500.0
1757103678.6953547,298.106,0.002,,,,102.21000000000001,1.0188038349151611,1500.0
1757103679.714272,298.155,0.002,,,,78.31,1.0189173221588135,1500.0
1757103680.7332697,298.204,0.002,,,,83.85000000000001,1.0189976692199707,1500.0
1757103681.7523563,298.247,0.002,,,,51.02,1.0190865993499756,1500.0
1757103682.7714593,298.285,0.002,,,,14.59,1.0191030502319336,1500.0
1757103684.6510139,298.36,0.002,,,,-12.88,1.8795545101165771,1500.0
1757103685.669328,298.397,0.002,,,,5.88,1.0183141231536865,1500.0
1757103686.6879823,298.435,0.002,,,,17.830000000000002,1.0186543464660645,1500.0
1757103687.7067177,298.474,0.002,,,,32.88,1.018735408782959,1500.0
1757103688.725483,298.512,0.002,,,,13.68,1.0187652111053467,1500.0
1757103690.6350913,298.587,0.002,,,,17.88,1.9096083641052246,1500.0
1757103693.6362433,298.704,0.002,,,,64.51,3.0011520385742188,1500.0
1757103694.6444662,298.704,0.002,,,,64.51,1.0082228183746338,1500.0
1757103695.6628418,298.791,0.002,,,,69.2,1.0183756351470947,1500.0
1757103696.6814075,298.841,0.002,,,,90.59,1.0185656547546387,1500.0
1757103697.699384,298.884,0.002,,,,55.03,1.0179765224456787,1500.0
1757103698.717986,298.923,0.002,,,,15.71,1.0186021327972412,1500.0
1757103699.7366664,298.96,0.002,,,,-12.32,1.0186803340911865,1500.0
