time_sent,temp,internal_resistance,p,innovation,time_recv,current,dt,cooling_power
1757603347.2027118,296.851,0.10659958055431881,9.051253736064526e-09,3770.7612927883797,1757603347.4519312,55.36,1.4431309700012207,1500.0
1757603348.4910934,296.896,0.19303947521092057,7.478683637203765e-09,2386.6750135209168,1757603348.854908,69.59,1.288381576538086,1500.0
1757603349.8938117,296.953,0.21539127594813984,3.1644268073528298e-09,522.7524330361994,1757603350.1574407,116.24000000000001,1.4027183055877686,1500.0
1757603351.1972976,297.067,0.2847077423308454,2.479150853446743e-09,2980.8642971074837,1757603351.4324179,96.85000000000001,1.3034858703613281,1500.0
1757603352.470003,297.109,0.2922706178003128,2.4747560402908e-09,2475.532269578486,1757603352.8246057,35.13,1.272705316543579,1500.0
1757603353.8606617,297.148,0.2968957806357361,2.4760005753192064e-09,2401.8023420082236,1757603354.1746755,27.89,1.3906588554382324,1500.0
1757603355.21096,297.231,0.2987487028461047,2.480738640615591e-09,3907.497791983946,1757603355.554603,13.81,1.3502981662750244,1500.0
1757603356.5922396,297.26800000000003,0.2989370240664118,2.485704767893285e-09,2570.7119710986044,1757603356.8702707,5.41,1.381279706954956,1500.0
1757603357.911205,297.312,0.3148408618600216,2.3855974248289106e-09,1584.9061348870498,1757603358.1705234,64.85,1.3189654350280762,1500.0
1757603359.207792,297.396,0.34181302895713184,2.289756715223021e-09,2747.407223662509,1757603359.4623737,65.48,1.2965869903564453,1500.0
1757603360.5000932,297.439,0.3540042490688955,2.248628796476985e-09,1821.749126461811,1757603360.8515108,54.56,1.2923011779785156,1500.0
1757603361.8862023,297.48199999999997,0.3655836141514946,2.1932547145723283e-09,1517.2284858106498,1757603362.136006,59.0,1.3861091136932373,1500.0
1757603363.1718998,297.565,0.3657917581136302,2.1976466172123037e-09,3633.019614170014,1757603363.47423,-5.15,1.2856974601745605,1053.8
1757603367.5790322,297.67,0.36618030119782224,2.2020250474775795e-09,2436.0128065564045,1757603367.8608627,-8.53,4.407132387161255,1500.0
1757603368.8962948,297.708,0.3672061991716656,2.2062819044391472e-09,2598.11535672874,1757603369.189112,-13.38,1.3172626495361328,1500.0
1757603370.2228782,297.79,0.37913835381069105,2.198274829696064e-09,3393.0926378295853,1757603370.4740765,-39.99,1.3265833854675293,1500.0
1757603371.5075588,297.828,0.38153644924301344,2.201782841997665e-09,2530.3246590290983,1757603371.7773015,-20.740000000000002,1.2846806049346924,1500.0
1757603373.8342578,297.907,0.39165063128206173,2.1795237768531856e-09,1969.6818310595727,1757603374.0971243,48.53,2.3266990184783936,1500.0
1757603375.130754,297.997,0.41552606267582287,2.0401888374642426e-09,2060.6800359156136,1757603375.41576,75.36,1.2964961528778076,1500.0
1757603376.4505997,298.051,0.3946814332463324,1.6713805379465024e-09,-1194.0268342883273,1757603376.6927376,102.21000000000001,1.3198456764221191,1500.0
1757603377.727437,298.099,0.4004211448910934,1.5755023384844216e-09,594.2169110158306,1757603377.9962497,78.31,1.2768373489379883,1500.0
1757603379.03314,298.148,0.3971164092950893,1.46433293036331e-09,236.59235246959815,1757603379.4006526,83.86,1.3057029247283936,1500.0
1757603380.437044,298.23,0.3982948480769695,1.4671699189784992e-09,3761.7567798776,1757603380.7466393,14.59,1.4039039611816406,1500.0
1757603382.8066206,298.305,0.39895138224792687,1.4700506627264154e-09,2711.992634146095,1757603383.0877135,-12.88,2.3695766925811768,1500.0
1757603384.1236217,298.38,0.4006644867472339,1.4727774036940442e-09,3661.797583603336,1757603384.3904,17.830000000000002,1.3170011043548584,1500.0
1757603385.4289227,298.419,0.40428290657901345,1.4731879357503682e-09,2274.7588533202393,1757603385.8338068,32.88,1.3053009510040283,1500.0
1757603386.8676023,298.456,0.40496127138198224,1.4760639069366576e-09,2466.282324151384,1757603387.1718528,13.68,1.4386796951293945,1500.0
1757603388.2072873,298.531,0.4066720244647693,1.4787984116586481e-09,3621.3121526667874,1757603388.541308,17.88,1.3396849632263184,1500.0
1757603391.6260898,298.649,0.41389176452708715,1.444666250436987e-09,1200.8453456799568,1757603391.9710734,64.52,3.418802499771118,1500.0
1757603393.0057745,298.691,0.412617730499433,1.4364587237912352e-09,1791.8839781979418,1757603393.3200727,48.07,1.3796846866607666,1500.0
1757603394.3564022,298.785,0.42240521078548615,1.312092640564752e-09,908.5509574911398,1757603394.608431,90.60000000000001,1.3506276607513428,1500.0
1757603395.6427238,298.829,0.4287173908368753,1.299059584837625e-09,1603.3252998268838,1757603395.8820536,55.03,1.2863216400146484,1500.0
1757603396.918228,298.868,0.42956545461139944,1.3015597135886345e-09,2631.926940256661,1757603397.1832266,15.71,1.2755041122436523,1500.0
1757603398.21903,298.944,0.4344137165407711,1.3021073753401782e-09,3376.893905017556,1757603398.514993,-33.19,1.3008019924163818,1500.0
1757603399.550562,298.98199999999997,0.4353505360987204,1.3045789462030019e-09,2533.231841462972,1757603399.918405,-16.87,1.3315320014953613,1500.0
1757603400.9538538,299.019,0.43606690227406775,1.3071093422977237e-09,2473.7661573043165,1757603401.3408363,-14.89,1.403291940689087,1500.0
1757603404.4249823,299.171,0.44166098920309926,1.3048143436978051e-09,2526.7789300456257,1757603404.7012167,41.18,3.471128463745117,1500.0
1757603405.7362852,299.209,0.44389298266408816,1.3065294398967468e-09,2354.8918602654844,1757603406.0265152,26.94,1.311302900314331,1500.0
1757603407.0604413,299.249,0.44600884109047906,1.3043132174047095e-09,1981.5285369978624,1757603407.3358886,41.02,1.3241560459136963,1500.0
