time_sent,temp,internal_resistance,p,innovation,time_recv,current,dt,cooling_power
1757596210.473375,296.613,0.002741560328903246,9.914364464778526e-09,2632.8565066326287,1757596210.7845974,5.33,1.347672939300537,1500.0
1757596211.822468,296.688,0.01945175489940406,9.914074511217836e-09,3725.9317814912783,1757596212.1457455,21.27,1.349092960357666,1500.0
1757596213.1851041,296.728,0.07453006043161245,9.476524538644644e-09,2636.781380987181,1757596213.5213253,46.95,1.3626360893249512,1500.0
1757596214.559064,296.769,0.09521345122633798,8.57989645266397e-09,2634.0291430014954,1757596214.8376048,57.9,1.3739597797393799,1500.0
1757596215.8751166,296.851,0.1855156201250851,7.954754146150896e-09,3704.2121737948755,1757596216.1806853,55.36,1.3160526752471924,1500.0
1757596217.2185168,296.896,0.24885003292262692,6.715376943575388e-09,1947.3573117698488,1757596217.575206,69.59,1.343400239944458,1500.0
1757596218.6112306,297.013,0.31209536013526207,3.0666956842642583e-09,1548.0887261910193,1757596218.89761,115.42,1.3927137851715088,1500.0
1757596219.9353514,297.067,0.3168632953283498,2.4188789668259955e-09,209.9394817106322,1757596220.2321768,96.85000000000001,1.3241207599639893,1500.0
1757596221.268645,297.109,0.32394076063484595,2.4148122771885546e-09,2375.966092562855,1757596221.570307,35.13,1.3332936763763428,1500.0
1757596222.6068,297.192,0.3478615502572542,2.3448858225141168e-09,2810.3053989920454,1757596222.864525,60.25,1.3381550312042236,1500.0
1757596223.9007683,297.231,0.34904596312202657,2.349384212744116e-09,2646.852751183994,1757596224.251814,13.81,1.2939682006835938,1500.0
1757596225.2881415,297.26800000000003,0.34922669605604506,2.3540876503647153e-09,2564.5412955942274,1757596225.5669782,5.41,1.3873732089996338,1500.0
1757596226.6022031,297.352,0.35724501093455563,2.3542165809356747e-09,3745.269484494383,1757596226.942857,30.150000000000002,1.3140616416931152,1500.0
1757596227.9784482,297.396,0.36941836586521476,2.260888490811265e-09,1255.2660256455688,1757596228.3051095,65.48,1.3762450218200684,1500.0
1757596229.3421278,297.439,0.3804603620849704,2.2208370024493904e-09,1670.0055283580243,1757596229.6541739,54.56,1.3636796474456787,1500.0
1757596230.6905866,297.535,0.38288524253429845,1.8790757997959494e-09,141.8421087935576,1757596231.00738,95.39,1.3484587669372559,750.0
1757596232.045274,297.558,0.3829891757656011,1.8828366383534358e-09,1424.9045147087338,1757596232.3683002,-6.08,1.3546874523162842,750.0
1757596234.4303644,297.595,0.3830647874336578,1.886606876172733e-09,1369.5650549870397,1757596234.6895075,-5.38,2.3850903511047363,750.0
1757596235.7250214,297.632,0.38342101991359284,1.8903687326784897e-09,2624.741695305194,1757596235.9883275,-8.53,1.2946569919586182,1500.0
1757596237.0242813,297.67,0.3843052785199645,1.894042064719281e-09,2610.826907469904,1757596237.374294,-13.38,1.299259901046753,1500.0
1757596238.4090803,297.711,0.3919775140410045,1.8803940467687285e-09,1844.3377809988565,1757596238.7001266,-47.02,1.3847990036010742,1500.0
1757596239.7350745,297.79,0.39499590095091536,1.883505742173639e-09,3722.4821297500444,1757596239.9970608,-20.740000000000002,1.3259942531585693,1500.0
1757596242.0568423,297.869,0.403536735319051,1.8677282990401107e-09,1940.696106858269,1757596242.4710007,48.53,2.321767807006836,1500.0
1757596243.5064259,297.913,0.40263064052126607,1.8021588806190565e-09,934.0082003606365,1757596243.7840128,67.33,1.4495835304260254,1500.0
1757596244.8197975,298.013,0.40808861689082326,1.5083858168725238e-09,346.3366256717645,1757596245.0693529,102.22,1.3133716583251953,1500.0
1757596246.1050076,298.062,0.41276544311664237,1.4301211602897291e-09,533.1083649426942,1757596246.374547,78.31,1.285210132598877,1500.0
1757596247.4094882,298.111,0.4138109763342989,1.3381524269265627e-09,110.61793684308395,1757596247.7717586,83.86,1.3044805526733398,1500.0
1757596248.8065264,298.192,0.41487767168427436,1.3407526350294294e-09,3740.920526580499,1757596249.163563,14.59,1.397038221359253,1500.0
1757596251.2193832,298.267,0.4154786938552656,1.343389845261713e-09,2686.402070905868,1757596251.588835,-12.88,2.4128568172454834,1500.0
1757596252.6228614,298.342,0.416984507628886,1.345898908863191e-09,3516.246127385471,1757596252.9085925,17.830000000000002,1.4034781455993652,1500.0
1757596253.9431071,298.381,0.42024570258793303,1.346473799754189e-09,2243.4433398565393,1757596254.2924204,32.88,1.3202457427978516,1500.0
1757596255.32608,298.419,0.42088961517332063,1.3491083972111294e-09,2533.3763827760718,1757596255.6238902,13.68,1.3829729557037354,1500.0
1757596256.6596618,298.494,0.42245694571137404,1.3516252789690375e-09,3626.290694693485,1757596256.974509,17.88,1.3335816860198975,1500.0
1757596260.0553668,298.611,0.42869884283082377,1.3232773350826128e-09,1132.568434990731,1757596260.4167492,64.52,3.395704984664917,1500.0
1757596261.4518964,298.653,0.43395149683576495,1.3166079618802296e-09,1726.149420614316,1757596261.759529,48.07,1.3965296745300293,1500.0
1757596262.79513,298.748,0.4416904228937838,1.2115548595168768e-09,778.3325794575503,1757596263.0834496,90.60000000000001,1.343233585357666,1500.0
1757596264.1172304,298.791,0.44706231397116114,1.2006164123607955e-09,1477.604089817453,1757596264.5071025,55.03,1.3221004009246826,1500.0
1757596265.5453854,298.83,0.44243164162226767,1.2029343076672426e-09,2498.042448839719,1757596265.8245904,15.71,1.4281549453735352,1500.0
1757596266.8584852,298.906,0.4468592469835543,1.2035845748301748e-09,3340.7100230805804,1757596267.2135093,-33.19,1.3130998611450195,1500.0
1757596268.2495697,298.944,0.4477113608573901,1.2058787775233471e-09,2480.732073915499,1757596268.5534332,-16.87,1.3910844326019287,1500.0
