time_sent,temp,internal_resistance,p,innovation,time_recv,current,dt,cooling_power
1757100132.5367925,296.148,0.15665814435497744,1.4113953586342322e-08,2791.7849354842115,1757100132.842317,62.65,1.3879096508026123,1500.0
1757100133.8799984,296.189,0.2074087417062411,1.3714340404133291e-08,2491.3051915339097,1757100134.1364868,38.54,1.3432059288024902,1500.0
1757100135.1762106,296.278,0.3723549711479418,1.0056721001891807e-08,3176.2030002486217,1757100135.452694,71.86,1.2962121963500977,1500.0
1757100136.4891202,296.327,0.4032169184260489,7.25925763660171e-09,685.1238894940539,1757100136.765975,78.78,1.3129096031188965,1500.0
1757100137.8053763,296.367,0.4065274204112018,7.272247433468942e-09,2650.1970357726136,1757100138.0648532,13.1,1.316256046295166,1500.0
1757100140.1270268,296.484,0.4499046849307242,6.975446973851629e-09,2512.338312904764,1757100140.441819,49.75,2.321650505065918,1500.0
1757100141.4785905,296.529,0.47468930941590515,6.22467920587999e-09,949.8781728514068,1757100141.7369943,64.75,1.3515636920928955,1500.0
1757100142.773368,296.569,0.49027365969060216,6.186374595958022e-09,2195.850904050597,1757100143.112396,33.87,1.2947773933410645,1500.0
1757100145.1737287,296.682,0.49244202647832563,6.19834803162602e-09,3335.3500972093348,1757100145.4543076,-10.25,2.4003608226776123,1500.0
1757100146.4918907,296.719,0.49362780369045467,6.210559556498706e-09,2591.9559220110777,1757100146.7140563,-8.59,1.318161964416504,1500.0
1757100150.8163195,296.87,0.499761993779144,6.2179309743624346e-09,2723.191810945459,1757100151.1029284,-19.03,4.3244287967681885,1500.0
1757100152.136548,296.945,0.5041150359750901,6.228992396039462e-09,3681.929859950069,1757100152.4162698,13.780000000000001,1.3202285766601562,1500.0
1757100153.4511797,296.987,0.5270708022400588,5.9795529428903034e-09,1448.841305154163,1757100153.7290614,51.47,1.314631700515747,1500.0
1757100155.7863574,297.063,0.5302984822606811,5.9901093837320775e-09,2703.300084817788,1757100156.0270243,14.120000000000001,2.3351776599884033,1500.0
1757100158.082645,297.175,0.534167416103188,6.000784487986932e-09,3354.9527713580756,1757100158.3661897,-13.86,2.2962875366210938,1500.0
1757100159.3977637,297.213,0.5393324866572602,6.008467407442343e-09,2478.197298445318,1757100159.6514826,-18.62,1.3151187896728516,1500.0
1757100160.6857026,297.251,0.5404163564747699,6.020340516820567e-09,2651.2055726086255,1757100160.9374297,-8.25,1.2879388332366943,1500.0
1757100161.9726744,297.288,0.5420715966974955,6.032002108053687e-09,2601.0446030985377,1757100162.2634797,-10.26,1.2869718074798584,1500.0
1757100164.318421,297.401,0.5431400034352103,6.0439915707436665e-09,3405.5776935334184,1757100164.5828342,7.21,2.3457465171813965,1500.0
1757100165.617224,297.438,0.5439400707719833,6.05601057885472e-09,2620.7469109676276,1757100165.8697395,7.1000000000000005,1.2988030910491943,1500.0
1757100166.9048371,297.475,0.5456427025058093,6.067717787288982e-09,2599.4550185944495,1757100167.1831512,10.39,1.2876131534576416,1500.0
1757100168.2172043,297.551,0.550898182782702,6.077852609088105e-09,3695.7505749602296,1757100168.5005698,15.3,1.3123672008514404,1500.0
1757100171.5836825,297.663,0.5513885947260722,6.090002741733257e-09,2824.0791773057294,1757100171.8732922,5.33,3.366478204727173,1500.0
1757100172.9075356,297.7,0.5518428190710083,6.102177103546374e-09,2612.074041997603,1757100173.1517818,5.33,1.3238530158996582,1500.0
1757100174.186996,297.774,0.5525010838816707,6.1143757426040566e-09,3805.8356226200744,1757100174.520135,5.33,1.2794604301452637,1500.0
1757100175.5556839,297.812,0.5529534245673955,6.126598707077342e-09,2605.140762600461,1757100175.8505857,5.33,1.3686878681182861,1500.0
1757100176.886178,297.849,0.5534046737591528,6.138846045231884e-09,2607.106246895116,1757100177.1304882,5.33,1.3304941654205322,1500.0
1757100178.1683097,297.924,0.5540697639784378,6.1511178054281365e-09,3832.7749876486546,1757100178.4691343,5.33,1.2821316719055176,1500.0
