time_sent,temp,internal_resistance,p,innovation,time_recv,current,dt,cooling power
1757101710.0244987,295.094,0.002,,,,5.33,4.163764715194702,1500.0
1757101711.0445745,295.132,0.002,,,,5.33,1.020075798034668,1500.0
1757101712.0648167,295.169,0.002,,,,5.33,1.0202422142028809,1500.0
1757101713.0848906,295.207,0.002,,,,5.33,1.0200738906860352,1500.0
1757101714.1048493,295.244,0.002,,,,5.33,1.019958734512329,1500.0
1757101715.1246908,295.282,0.002,,,,5.33,1.0198414325714111,1500.0
1757101716.144361,295.32,0.002,,,,5.33,1.0196702480316162,1500.0
1757101717.1639452,295.35699999999997,0.002,,,,5.33,1.0195841789245605,1500.0
1757101718.1834416,295.395,0.002,,,,5.33,1.0194964408874512,1500.0
1757101719.202862,295.432,0.002,,,,5.33,1.0194203853607178,1500.0
1757101720.2221017,295.47,0.002,,,,5.33,1.0192396640777588,1500.0
1757101721.2411635,295.507,0.002,,,,5.33,1.019061803817749,1500.0
1757101722.2602265,295.545,0.002,,,,5.33,1.0190629959106445,1500.0
1757101723.279181,295.583,0.002,,,,5.33,1.0189545154571533,1500.0
1757101724.2981567,295.62,0.002,,,,5.33,1.0189757347106934,1500.0
1757101725.3171976,295.658,0.002,,,,5.33,1.019040822982788,1500.0
1757101726.336359,295.695,0.002,,,,5.33,1.0191614627838135,1500.0
1757101727.3554263,295.733,0.002,,,,5.7,1.0190672874450684,1500.0
1757101728.3743825,295.77,0.002,,,,7.16,1.018956184387207,1500.0
1757101729.393285,295.809,0.002,,,,38.27,1.0189025402069092,1500.0
1757101730.4120045,295.85,0.002,,,,54.7,1.0187194347381592,1500.0
1757101731.430112,295.891,0.002,,,,47.18,1.0181074142456055,1500.0
1757101732.448973,295.93,0.002,,,,7.8100000000000005,1.0188610553741455,1500.0
1757101733.4679532,295.969,0.002,,,,40.36,1.0189802646636963,1500.0
1757101734.4869206,296.01,0.002,,,,43.19,1.0189673900604248,1500.0
1757101735.505872,296.055,0.002,,,,70.95,1.018951416015625,1500.0
1757101736.5248697,296.103,0.002,,,,78.73,1.0189976692199707,1500.0
1757101737.5440228,296.148,0.002,,,,62.65,1.019153118133545,1500.0
1757101738.5630257,296.189,0.002,,,,38.54,1.019002914428711,1500.0
1757101739.5821075,296.23199999999997,0.002,,,,54.06,1.0190818309783936,1500.0
1757101740.6012404,296.278,0.002,,,,71.86,1.0191328525543213,1500.0
